num_sweeps,beta_min,beta_max,beta_schedule_type,num_sweeps_per_beta,randomize_order,proposal_acceptance_criteria,feasibility_rate,best_cost,lower_bound,approx_ratio,time_s
100,0.1,0.1,geometric,5,False,Metropolis,0.0,,593,,0.113
100,0.1,0.1,geometric,5,False,Gibbs,0.0,,593,,0.089
100,0.1,0.1,geometric,5,True,Metropolis,0.0,,593,,0.133
100,0.1,0.1,geometric,5,True,Gibbs,0.0,,593,,0.093
100,0.1,0.1,geometric,10,False,Metropolis,0.0,,593,,0.116
100,0.1,0.1,geometric,10,False,Gibbs,0.0,,593,,0.092
100,0.1,0.1,geometric,10,True,Metropolis,0.0,,593,,0.133
100,0.1,0.1,geometric,10,True,Gibbs,0.0,,593,,0.094
100,0.1,0.3,linear,1,False,Metropolis,0.0,,593,,0.112
100,0.1,0.3,linear,1,False,Gibbs,0.0,,593,,0.088
100,0.1,0.3,linear,1,True,Metropolis,0.0,,593,,0.133
100,0.1,0.3,linear,1,True,Gibbs,0.0,,593,,0.093
100,0.1,0.3,linear,5,False,Metropolis,0.0,,593,,0.114
100,0.1,0.3,linear,5,False,Gibbs,0.0,,593,,0.089
100,0.1,0.3,linear,5,True,Metropolis,0.0,,593,,0.134
100,0.1,0.3,linear,5,True,Gibbs,0.0,,593,,0.098
100,0.1,0.3,linear,10,False,Metropolis,0.0,,593,,0.114
100,0.1,0.3,linear,10,False,Gibbs,0.0,,593,,0.088
100,0.1,0.3,linear,10,True,Metropolis,0.0,,593,,0.134
100,0.1,0.3,linear,10,True,Gibbs,0.0,,593,,0.093
100,0.1,0.3,geometric,1,False,Metropolis,0.0,,593,,0.114
100,0.1,0.3,geometric,1,False,Gibbs,0.0,,593,,0.089
100,0.1,0.3,geometric,1,True,Metropolis,0.0,,593,,0.134
100,0.1,0.3,geometric,1,True,Gibbs,0.0,,593,,0.094
100,0.1,0.3,geometric,5,False,Metropolis,0.0,,593,,0.113
100,0.1,0.3,geometric,5,False,Gibbs,0.0,,593,,0.09
100,0.1,0.3,geometric,5,True,Metropolis,0.0,,593,,0.135
100,0.1,0.3,geometric,5,True,Gibbs,0.0,,593,,0.097
100,0.1,0.3,geometric,10,False,Metropolis,0.0,,593,,0.115
100,0.1,0.3,geometric,10,False,Gibbs,0.0,,593,,0.09
100,0.1,0.3,geometric,10,True,Metropolis,0.0,,593,,0.133
100,0.1,0.3,geometric,10,True,Gibbs,0.0,,593,,0.093
100,0.1,0.5,linear,1,False,Metropolis,0.0,,593,,0.113
100,0.1,0.5,linear,1,False,Gibbs,0.0,,593,,0.089
100,0.1,0.5,linear,1,True,Metropolis,0.0,,593,,0.133
100,0.1,0.5,linear,1,True,Gibbs,0.0,,593,,0.094
100,0.1,0.5,linear,5,False,Metropolis,0.0,,593,,0.115
100,0.1,0.5,linear,5,False,Gibbs,0.0,,593,,0.09
100,0.1,0.5,linear,5,True,Metropolis,0.0,,593,,0.134
100,0.1,0.5,linear,5,True,Gibbs,0.0,,593,,0.094
100,0.1,0.5,linear,10,False,Metropolis,0.0,,593,,0.113
100,0.1,0.5,linear,10,False,Gibbs,0.0,,593,,0.09
100,0.1,0.5,linear,10,True,Metropolis,0.0,,593,,0.133
100,0.1,0.5,linear,10,True,Gibbs,0.0,,593,,0.093
100,0.1,0.5,geometric,1,False,Metropolis,0.0,,593,,0.114
100,0.1,0.5,geometric,1,False,Gibbs,0.0,,593,,0.09
100,0.1,0.5,geometric,1,True,Metropolis,0.0,,593,,0.135
100,0.1,0.5,geometric,1,True,Gibbs,0.0,,593,,0.099
100,0.1,0.5,geometric,5,False,Metropolis,0.0,,593,,0.118
100,0.1,0.5,geometric,5,False,Gibbs,0.0,,593,,0.09
100,0.1,0.5,geometric,5,True,Metropolis,0.0,,593,,0.134
100,0.1,0.5,geometric,5,True,Gibbs,0.0,,593,,0.094
100,0.1,0.5,geometric,10,False,Metropolis,0.0,,593,,0.114
100,0.1,0.5,geometric,10,False,Gibbs,0.0,,593,,0.088
100,0.1,0.5,geometric,10,True,Metropolis,0.0,,593,,0.132
100,0.1,0.5,geometric,10,True,Gibbs,0.0,,593,,0.092
100,0.1,1.0,linear,1,False,Metropolis,0.0,,593,,0.116
100,0.1,1.0,linear,1,False,Gibbs,0.0,,593,,0.092
100,0.1,1.0,linear,1,True,Metropolis,0.0,,593,,0.138
100,0.1,1.0,linear,1,True,Gibbs,0.0,,593,,0.098
100,0.1,1.0,linear,5,False,Metropolis,0.0,,593,,0.116
100,0.1,1.0,linear,5,False,Gibbs,0.0,,593,,0.09
100,0.1,1.0,linear,5,True,Metropolis,0.0,,593,,0.132
100,0.1,1.0,linear,5,True,Gibbs,0.0,,593,,0.094
100,0.1,1.0,linear,10,False,Metropolis,0.0,,593,,0.117
100,0.1,1.0,linear,10,False,Gibbs,0.0,,593,,0.089
100,0.1,1.0,linear,10,True,Metropolis,0.0,,593,,0.132
100,0.1,1.0,linear,10,True,Gibbs,0.0,,593,,0.093
100,0.1,1.0,geometric,1,False,Metropolis,0.0,,593,,0.119
100,0.1,1.0,geometric,1,False,Gibbs,0.0,,593,,0.089
100,0.1,1.0,geometric,1,True,Metropolis,0.0,,593,,0.134
100,0.1,1.0,geometric,1,True,Gibbs,0.0,,593,,0.094
100,0.1,1.0,geometric,5,False,Metropolis,0.0,,593,,0.117
100,0.1,1.0,geometric,5,False,Gibbs,0.0,,593,,0.093
100,0.1,1.0,geometric,5,True,Metropolis,0.0,,593,,0.135
100,0.1,1.0,geometric,5,True,Gibbs,0.0,,593,,0.094
